107: She got up out of bed, platted a mat of hay, carried it to where the dead bird was, spread it over him, and covered him up on every side with soft cotton, which she had  found in the field-mouse’s parlor, that he might rest more warmly than on the cold earth.
113: At first Ellie was frightened when the bird began to move, for compared to her he was a giant; but she soon took courage,  tucked in the covering all around the exhausted creature, and then fetched the mint leaf which had hitherto served her as a pillow, in order to put it over the poor bird’s head.
121: The little swallow remained here the whole winter, and Ellie tended him and liked him better and better every day; but she told the mole and the field-mouse nothing of the matter, for she knew very well that neither of them could bear the poor bird.
122: As soon as summer was come and the genial rays of the sun penetrated the earth, the swallow bade Ellie farewell; for she had opened the hole in the ground through which the mole had let in the light.
141: “In four weeks you will be married,” said the old field-mouse; but Ellie wept,  and said she would not have the tiresome mole for a husband.
146: Now, then, was to be the wedding!
148: The poor thing was quite melancholy at the thought of taking leave of the dear sun, which, as long as she was with the field-mouse, she could at least see from the door; and she begged so hard, that the mouse gave her leave to go out and see it for the last time.
154: resounded at the same moment; and when Ellie lifted up her eyes, she saw the very same well- known swallow fly by.
155: As soon as the bird perceived Ellie, he instantly flew to his kind nurse, who told him how unwilling she was to take the ugly mole for her husband; and that she was to live with him under-ground, where the sun and moon would never shine.
158: If you will travel with me, I will willingly take you on my back.
161: “Yes, I will fly with you,” exclaimed Ellie joyfully.
164: At last they arrived in the warm countries.
171: “Here is my home,” said he; “but do you seek out one of the loveliest flowers that grow yonder for your dwelling; then I will carry you thither, and you shall make yourself as comfortable as you please; your every wish shall be readily and cheerfully fulfilled.”
175: The swallow flew with Ellie to one of these flowers, and set her down on a broad leaf; but how astonished was Ellie when she saw that in the flower a little mannikin was sitting, as delicate and transparent as glass.
178: In each flower dwelt such a little man with his wife; but this was the king of all the sylphs of the flowers.
181: The little prince started at the sudden arrival of the great bird; but when he saw Ellie he became enamored of her, for she was the most beautiful maiden he had ever seen.
182: Then he took off his golden crown, set it on Ellie’s head, and asked her name, and if she would be his wife, and so become queen of all the flowers.
184: So Ellie said “Yes” to the little prince; and then a lady appeared, and then a gentleman, out of all the other flowers, so lovely, that it was quite a pleasure to see them, and each of them brought a present to Ellie.
185: The best gift that was offered her was a pair of beautiful white wings, which were fastened on her shoulders immediately; and now she too could fly from flower to flower—that was such a delight!
187: The little swallow sat on high in his nest, and sang as well as he could, though he was very sad; for he had a great affection for Ellie, and did not wish to part from her.
188: “You shall not be called Ellie any longer,” said the sylph; “for that is not a pretty name, and you are so very beautiful.
189: Henceforward we will call you Maia.”Maria.
190: “Farewell, farewell!” cried then the little swallow, and flew away again from the  warm land, far, far away; off to little Denmark, where he has his nest just over the window of the room in which dwells the poet who can tell delightful tales, and there sings to him his “Chirrup! chirrup!
192: It was he who told us the whole of this wonderful story.
